#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_16,569,536,795,366,413,890,2097,1737,315,378,931,2469,170,0,663,232,1024,404,151,90,448,0,326,632,480,412,1933,188,229,88,286,327,265,91,76,0,1942,571,0,1318,1906,792,807,514,818
OTU_101,324,82,156,115,92,231,357,239,89,98,0,0,0,0,0,169,581,294,976,194,428,0,351,424,199,992,2165,429,318,302,623,590,737,571,134,0,1258,596,0,769,229,125,262,232,199
OTU_19,1948,1303,697,482,1139,144,133,201,35,135,1835,1342,422,2,1043,1437,349,112,685,1042,433,0,352,286,292,352,283,79,194,86,154,100,51,62,107,0,342,185,0,253,721,208,294,226,374
OTU_49,614,476,206,310,663,344,398,279,79,539,758,715,879,0,602,192,85,30,92,88,430,0,255,190,156,656,140,72,173,213,74,47,86,49,222,0,125,105,0,431,1254,427,413,185,350
OTU_13,140,371,243,328,59,226,334,214,257,196,0,0,0,0,0,499,302,539,321,183,336,0,162,608,657,218,573,391,310,666,189,186,358,584,325,0,218,821,2,249,1053,884,1525,1189,2615
OTU_37,24,20,76,64,55,57,56,58,23,39,0,0,0,3,0,482,520,1052,443,281,371,0,671,132,187,90,145,77,117,82,38,16,65,99,23,0,71,309,0,182,204,92,58,113,95
OTU_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,529,437,151,203,284,0,529,100,120,128,134,267,539,327,114,95,221,249,265,0,71,248,0,224,1254,770,85,779,450
OTU_6,3989,2928,638,636,2002,112,191,347,37,200,782,844,137,0,831,1402,339,170,796,1269,297,0,532,443,226,237,281,100,91,55,144,73,34,39,84,0,436,148,0,144,544,163,151,148,278
OTU_39,9,8,0,12,2,38,9,13,0,6,9,0,0,2,2,16,10,0,462,702,269,0,640,1033,344,0,31,5,3,24,25,41,246,41,111,0,100,10,0,0,0,0,0,3,0
OTU_15,0,2,0,0,0,684,213,320,392,977,0,0,0,0,0,0,0,0,0,0,253,0,383,88,107,607,680,1100,2246,1384,364,172,1575,1724,752,0,391,2488,0,1251,0,0,0,0,0
OTU_56,2,0,0,0,0,318,1146,440,418,284,406,133,624,0,89,84,75,41,89,112,250,0,155,290,341,247,292,378,162,61,171,133,117,287,105,0,47,48,0,124,479,138,74,192,120
OTU_25,0,0,0,0,0,101,156,144,72,198,2,0,0,0,0,698,191,190,622,374,253,0,370,193,136,297,314,365,597,143,143,88,68,358,312,0,232,177,2,165,1456,558,714,504,796
